woningtype_str,bouwjaar_str,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,,,,,,,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MV_RV,VL_OPP_WON_MIN,VL_OPP_WON_MAX
herenhuis grachtenpand,2000<=2010,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,0.9,A+,4,6,0,,,,,,,,,0,,,,,,1.07,132,132
herenhuis grachtenpand,2010<=2020,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,,A+,4,6,0,,,,,,,,,0,,,,,,1.07,132,132
herenhuis grachtenpand,2020<=2030,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,,A+,4,6,0,,,,,,,,,0,,,,,,1.07,132,132
herenhuis grachtenpand,2030<=2040,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,,A+,4,6,0,Grijs gearceerde blokkken invullen!,,,,,,,,0,,,,,,1.07,132,132
herenhuis grachtenpand,2040<=2050,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,,A+,4,6,0,,,,,,,,,0,,,,,,1.07,132,132
boerderij/tuinderij,2000<=2010,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,0.9,A+,4,8.5,0,Verbetering,,,,,,,,0,,,,,,1.07,172,172
boerderij/tuinderij,2010<=2020,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,,A+,4,8.5,0,A) Van huidig naar 2 labels hoger (E->C; F->D;G->E) (=Tussenlabel),,,,,,,,0,,,,,,1.07,172,172
boerderij/tuinderij,2020<=2030,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,,A+,4,8.5,0,B) Van huidig naar label B,,,,,,,,0,,,,,,1.07,172,172
boerderij/tuinderij,2030<=2040,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,,A+,4,8.5,0,C) Van huidig naar Aplus (energieneutraal) ,,,,,,,,0,,,,,,1.07,172,172
boerderij/tuinderij,2040<=2050,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,,A+,4,8.5,0,D) Van tussenlabel naar B,,,,,,,,0,,,,,,1.07,172,172
vrijstaand/bungalows,2000<=2010,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,0.9,A+,4,8.5,0,E) Van tussenlabel naar Aplus,,,,,,,,0,,,,,,1.07,172,172
vrijstaand/bungalows,2010<=2020,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,,A+,4,8.5,0,F) Van label B naar Aplus,,,,,,,,0,,,,,,1.07,172,172
vrijstaand/bungalows,2020<=2030,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,,A+,4,8.5,0,,,,,,,,,0,,,,,,1.07,172,172
vrijstaand/bungalows,2030<=2040,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,,A+,4,8.5,0,Bij nieuwbouw alleen van huidig naar Aplus mogelijk (verbetering C).,,,,,,,,0,,,,,,1.07,172,172
vrijstaand/bungalows,2040<=2050,7.066666667,0.72,1,nvt,30.96,0,0.01008,1,1.07,1,nvt,0,nvt,11.082384,1,0,,A+,4,8.5,0,,,,,,,,,0,,,,,,1.07,172,172
twee onder een kap,2000<=2010,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,0.9,A+,4,7,0,,,,,,,,,0,,,,,,1.07,132,132
twee onder een kap,2010<=2020,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,,A+,4,7,0,,,,,,,,,0,,,,,,1.07,132,132
twee onder een kap,2020<=2030,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,,A+,4,7,0,,,,,,,,,0,,,,,,1.07,132,132
twee onder een kap,2030<=2040,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,,A+,4,7,0,,,,,,,,,0,,,,,,1.07,132,132
twee onder een kap,2040<=2050,5.733333333,0.72,1,nvt,23.76,0,0.01008,1,1.07,1,nvt,0,nvt,11.485584,1,0,,A+,4,7,0,,,,,,,,,0,,,,,,1.07,132,132
rijtjeshuizen/eengezins,2000<=2010,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,0.9,A+,4,7.5,0,,,,,,,,,0,,,,,,1.07,114,114
rijtjeshuizen/eengezins,2010<=2020,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,4,7.5,0,,,,,,,,,0,,,,,,1.07,114,114
rijtjeshuizen/eengezins,2020<=2030,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,4,7.5,0,,,,,,,,,0,,,,,,1.07,114,114
rijtjeshuizen/eengezins,2030<=2040,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,4,7.5,0,,,,,,,,,0,,,,,,1.07,114,114
rijtjeshuizen/eengezins,2040<=2050,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,4,7.5,0,,,,,,,,,0,,,,,,1.07,114,114
flats 4 of minder verdiepingen,2000<=2010,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,0.9,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
flats 4 of minder verdiepingen,2010<=2020,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
flats 4 of minder verdiepingen,2020<=2030,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
flats 4 of minder verdiepingen,2030<=2040,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
flats 4 of minder verdiepingen,2040<=2050,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
flats meer dan 4 verdiepingen,2000<=2010,3.966666667,0.72,1,nvt,14.22,0,0.01008,1,1.07,1,nvt,0,nvt,9.927648,1,0,0.9,A+,2,5,0,,,,,,,,,0,,,,,,1.07,79,79
flats meer dan 4 verdiepingen,2010<=2020,3.966666667,0.72,1,nvt,14.22,0,0.01008,1,1.07,1,nvt,0,nvt,9.927648,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,79,79
flats meer dan 4 verdiepingen,2020<=2030,3.966666667,0.72,1,nvt,14.22,0,0.01008,1,1.07,1,nvt,0,nvt,9.927648,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,79,79
flats meer dan 4 verdiepingen,2030<=2040,3.966666667,0.72,1,nvt,14.22,0,0.01008,1,1.07,1,nvt,0,nvt,9.927648,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,79,79
flats meer dan 4 verdiepingen,2040<=2050,3.966666667,0.72,1,nvt,14.22,0,0.01008,1,1.07,1,nvt,0,nvt,9.927648,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,79,79
zelfstandige bejaardenwoning,2000<=2010,4.066666667,0.72,1,nvt,14.76,0,0.01008,1,1.07,1,nvt,0,nvt,9.897408,1,0,0.9,A+,2,5,0,,,,,,,,,0,,,,,,1.07,82,82
zelfstandige bejaardenwoning,2010<=2020,4.066666667,0.72,1,nvt,14.76,0,0.01008,1,1.07,1,nvt,0,nvt,9.897408,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,82,82
zelfstandige bejaardenwoning,2020<=2030,4.066666667,0.72,1,nvt,14.76,0,0.01008,1,1.07,1,nvt,0,nvt,9.897408,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,82,82
zelfstandige bejaardenwoning,2030<=2040,4.066666667,0.72,1,nvt,14.76,0,0.01008,1,1.07,1,nvt,0,nvt,9.897408,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,82,82
zelfstandige bejaardenwoning,2040<=2050,4.066666667,0.72,1,nvt,14.76,0,0.01008,1,1.07,1,nvt,0,nvt,9.897408,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,82,82
etagewoning/maisonnette,2000<=2010,4.133333333,0.72,1,nvt,15.12,0,0.01008,1,1.07,1,nvt,0,nvt,11.969424,1,0,0.9,A+,2,5,0,,,,,,,,,0,,,,,,1.07,84,84
etagewoning/maisonnette,2010<=2020,4.133333333,0.72,1,nvt,15.12,0,0.01008,1,1.07,1,nvt,0,nvt,11.969424,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,84,84
etagewoning/maisonnette,2020<=2030,4.133333333,0.72,1,nvt,15.12,0,0.01008,1,1.07,1,nvt,0,nvt,11.969424,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,84,84
etagewoning/maisonnette,2030<=2040,4.133333333,0.72,1,nvt,15.12,0,0.01008,1,1.07,1,nvt,0,nvt,11.969424,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,84,84
etagewoning/maisonnette,2040<=2050,4.133333333,0.72,1,nvt,15.12,0,0.01008,1,1.07,1,nvt,0,nvt,11.969424,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,84,84
etage/flats grachtenpand,2000<=2010,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,0.9,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
etage/flats grachtenpand,2010<=2020,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
etage/flats grachtenpand,2020<=2030,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
etage/flats grachtenpand,2030<=2040,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
etage/flats grachtenpand,2040<=2050,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
studentenwoning/flat,2000<=2010,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,0.7,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
studentenwoning/flat,2010<=2020,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
studentenwoning/flat,2020<=2030,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
studentenwoning/flat,2030<=2040,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
studentenwoning/flat,2040<=2050,3.8,0.72,1,nvt,13.32,0,0.01008,1,1.07,1,nvt,0,nvt,9.978048,1,0,,A+,2,5,0,,,,,,,,,0,,,,,,1.07,74,74
divers,2000<=2010,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,0.9,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
divers,2010<=2020,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
divers,2020<=2030,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
divers,2030<=2040,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
divers,2040<=2050,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
onbekend,2000<=2010,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,0.9,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
onbekend,2010<=2020,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
onbekend,2020<=2030,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
onbekend,2030<=2040,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
onbekend,2040<=2050,5.133333333,0.72,1,nvt,20.52,0,0.01008,1,1.07,1,nvt,0,nvt,11.667024,1,0,,A+,2,5.5,0,,,,,,,,,0,,,,,,1.07,114,114
woonboten,2000<=2010,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonboten,2010<=2020,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonboten,2020<=2030,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonboten,2030<=2040,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonboten,2040<=2050,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonwagens,2000<=2010,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonwagens,2010<=2020,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonwagens,2020<=2030,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonwagens,2030<=2040,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
woonwagens,2040<=2050,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,
