type_str	bouwjaar_str	Vrv_N_asl	Vrv_N_opp	Vrv_G_asl	Vrv_G_opp	Vrv_F_asl	Vrv_F_opp	Vrv_E_asl	Vrv_E_opp	Vrv_D_asl	Vrv_D_opp	Vrv_C_asl	Vrv_C_opp	Vrv_B_asl	Vrv_B_opp	Vrv_A_asl	Vrv_A_opp	Vvt_asl	Vvt_opp	Vtw_asl	Vtw_opp	Vea_asl	Vea_opp	Vkd_asl	Vkd_opp	Vkk_asl	Vkk_opp
Kantoor	0<=1920	0	0.98134404	0	0.98134404	0	0.98134404	0	0.98134404	0	0.98134404	0	0.210028709	0	0.210028709	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	1920<=1975	0	0.770581577	0	0.770581577	0	0.770581577	0	0.770581577	0	0.770581577	0	0.770581577	0	0.210028709	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	1975<=1990	0	0.393016494	0	0.393016494	0	0.393016494	0	0.393016494	0	0.393016494	0	0.210028709	0	0.210028709	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	1990<=1995	0	0.361406554	0	0.361406554	0	0.361406554	0	0.361406554	0	0.361406554	0	0.361406554	0	0.361406554	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	1995<=2019	0	0.295927522	0	0.295927522	0	0.295927522	0	0.295927522	0	0.295927522	0	0.295927522	0	0.295927522	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	2020<=2030	0	0.49328773	0	0.49328773	0	0.49328773	0	0.49328773	0	0.49328773	0	0.218708383	0	0.218708383	0	0.153095868	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Kantoor	2030<=2040	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Kantoor	2040<=2050	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Kantoor	onbekend	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Winkel	0<=1920	0	0.494577526	0	0.494577526	0	0.494577526	0	0.494577526	0	0.494577526	0	0.105826531	0	0.105826531	0	0.074078572	0	0	0	0.003776774	0	567	0	0.035278814	0.2	0
Winkel	1920<=1975	0	0.392022619	0	0.392022619	0	0.392022619	0	0.392022619	0	0.392022619	0	0.392022619	0	0.106281874	0	0.074397312	0	0	0	0.003776774	0	567	0	0.035278814	0.2	0
Winkel	1975<=1990	0	0.20177555	0	0.20177555	0	0.20177555	0	0.20177555	0	0.20177555	0	0.10625751	0	0.10625751	0	0.074380257	0	0	0	0.003776774	0	567	0	0.035278814	0.2	0
Winkel	1990<=1995	0	0.19066847	0	0.19066847	0	0.19066847	0	0.19066847	0	0.19066847	0	0.19066847	0	0.19066847	0	0.074792687	0	0	0	0.003776774	0	567	0	0.035278814	0.2	0
Winkel	1995<=2019	0	0.149468062	0	0.149468062	0	0.149468062	0	0.149468062	0	0.149468062	0	0.149468062	0	0.149468062	0	0.074159575	0	0	0	0.003776774	0	567	0	0.035278814	0.2	0
Winkel	2020<=2030	0	0.290090777	0	0.290090777	0	0.290090777	0	0.290090777	0	0.290090777	0	0.110901412	0	0.110901412	0	0.077630988	0	0	0	0.003533557	0	723	0	0.04719936	0.2	0
Winkel	2030<=2040	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0	0	0.003533557	0	723	0	0.04719936	0.2	0
Winkel	2040<=2050	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0	0	0.003533557	0	723	0	0.04719936	0.2	0
Winkel	onbekend	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0.118558988	0	0	0	0.003776774	0	567	0	0.035278814	0.2	0
Gezondheidszorg	0<=1920	0	1.116715465	0	1.116715465	0	1.116715465	0	1.116715465	0	1.116715465	0	0.275409927	0	0.275409927	0	0.192786949	0	0	0	0.038334258	0	232	0	0.032290345	0.2	0
Gezondheidszorg	1920<=1975	0	0.818769066	0	0.818769066	0	0.818769066	0	0.818769066	0	0.818769066	0	0.818769066	0	0.273129682	0	0.191190778	0	0	0	0.038334258	0	232	0	0.032290345	0.2	0
Gezondheidszorg	1975<=1990	0	0.460581719	0	0.460581719	0	0.460581719	0	0.460581719	0	0.460581719	0	0.273288018	0	0.273288018	0	0.191301613	0	0	0	0.038334258	0	232	0	0.032290345	0.2	0
Gezondheidszorg	1990<=1995	0	0.453116019	0	0.453116019	0	0.453116019	0	0.453116019	0	0.453116019	0	0.453116019	0	0.453116019	0	0.192615807	0	0	0	0.038334258	0	232	0	0.032290345	0.2	0
Gezondheidszorg	1995<=2019	0	0.377296416	0	0.377296416	0	0.377296416	0	0.377296416	0	0.377296416	0	0.377296416	0	0.377296416	0	0.19546814	0	0	0	0.038334258	0	232	0	0.032290345	0.2	0
Gezondheidszorg	2020<=2030	0	0.619830123	0	0.619830123	0	0.619830123	0	0.619830123	0	0.619830123	0	0.288253506	0	0.288253506	0	0.201777454	0	0	0	0.023557047	0	0.22	0	0.004719936	0.2	0
Gezondheidszorg	2030<=2040	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0	0	0.023557047	0	0.22	0	0.004719936	0.2	0
Gezondheidszorg	2040<=2050	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0	0	0.023557047	0	0.22	0	0.004719936	0.2	0
Gezondheidszorg	onbekend	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0.2160096	0	0	0	0.038334258	0	232	0	0.032290345	0.2	0
Logies	0<=1920	0	0.723986115	0	0.723986115	0	0.723986115	0	0.723986115	0	0.723986115	0	0.198224152	0	0.198224152	0	0.138756906	0	0	0	0.03745301	0	89	0	0.155846796	0.2	0
Logies	1920<=1975	0	0.582886015	0	0.582886015	0	0.582886015	0	0.582886015	0	0.582886015	0	0.582886015	0	0.198224152	0	0.138756906	0	0	0	0.03745301	0	89	0	0.155846796	0.2	0
Logies	1975<=1990	0	0.323539149	0	0.323539149	0	0.323539149	0	0.323539149	0	0.323539149	0	0.198224152	0	0.198224152	0	0.138756906	0	0	0	0.03745301	0	89	0	0.155846796	0.2	0
Logies	1990<=1995	0	0.302422208	0	0.302422208	0	0.302422208	0	0.302422208	0	0.302422208	0	0.302422208	0	0.302422208	0	0.138756906	0	0	0	0.03745301	0	89	0	0.155846796	0.2	0
Logies	1995<=2019	0	0.259615483	0	0.259615483	0	0.259615483	0	0.259615483	0	0.259615483	0	0.259615483	0	0.259615483	0	0.138756906	0	0	0	0.03745301	0	89	0	0.155846796	0.2	0
Logies	2020<=2030	0	0.400588267	0	0.400588267	0	0.400588267	0	0.400588267	0	0.400588267	0	0.205033605	0	0.205033605	0	0.143523524	0	0	0	0.038280201	0	45	0	0.18879744	0.2	0
Logies	2030<=2040	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0	0	0.038280201	0	45	0	0.18879744	0.2	0
Logies	2040<=2050	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0	0	0.038280201	0	45	0	0.18879744	0.2	0
Logies	onbekend	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0	0	0.03745301	0	89	0	0.155846796	0.2	0
Onderwijs	0<=1920	0	0.517455923	0	0.517455923	0	0.517455923	0	0.517455923	0	0.517455923	0	0.111871429	0	0.111871429	0	0.07831	0	0	0	0.004616057	0	151	0	0.004133429	0.2	0
Onderwijs	1920<=1975	0	0.390441057	0	0.390441057	0	0.390441057	0	0.390441057	0	0.390441057	0	0.390441057	0	0.111885195	0	0.078319636	0	0	0	0.004616057	0	151	0	0.004133429	0.2	0
Onderwijs	1975<=1990	0	0.208941646	0	0.208941646	0	0.208941646	0	0.208941646	0	0.208941646	0	0.111932551	0	0.111932551	0	0.078352785	0	0	0	0.004616057	0	151	0	0.004133429	0.2	0
Onderwijs	1990<=1995	0	0.201582601	0	0.201582601	0	0.201582601	0	0.201582601	0	0.201582601	0	0.201582601	0	0.201582601	0	0.078359575	0	0	0	0.004616057	0	151	0	0.004133429	0.2	0
Onderwijs	1995<=2019	0	0.157546041	0	0.157546041	0	0.157546041	0	0.157546041	0	0.157546041	0	0.157546041	0	0.157546041	0	0.078379777	0	0	0	0.004616057	0	151	0	0.004133429	0.2	0
Onderwijs	2020<=2030	0	0.280997955	0	0.280997955	0	0.280997955	0	0.280997955	0	0.280997955	0	0.116319658	0	0.116319658	0	0.08142376	0	0	0	0.004318792	0	144	0	0.00393328	0.2	0
Onderwijs	2030<=2040	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0	0	0.004318792	0	144	0	0.00393328	0.2	0
Onderwijs	2040<=2050	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0	0	0.004318792	0	144	0	0.00393328	0.2	0
Onderwijs	onbekend	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0.107603585	0	0	0	0.004616057	0	151	0	0.004133429	0.2	0
Industrie	0<=1920	0	0.415427096	0	0.415427096	0	0.415427096	0	0.415427096	0	0.415427096	0	0.08867127	0	0.08867127	0	0.062069889	0	0	0	0.003776774	0	86	0	0.012400286	0.2	0
Industrie	1920<=1975	0	0.323110284	0	0.323110284	0	0.323110284	0	0.323110284	0	0.323110284	0	0.323110284	0	0.088861186	0	0.06220283	0	0	0	0.003776774	0	86	0	0.012400286	0.2	0
Industrie	1975<=1990	0	0.167643629	0	0.167643629	0	0.167643629	0	0.167643629	0	0.167643629	0	0.089416217	0	0.089416217	0	0.062591352	0	0	0	0.003776774	0	86	0	0.012400286	0.2	0
Industrie	1990<=1995	0	0.15428224	0	0.15428224	0	0.15428224	0	0.15428224	0	0.15428224	0	0.15428224	0	0.15428224	0	0.062675157	0	0	0	0.003776774	0	86	0	0.012400286	0.2	0
Industrie	1995<=2019	0	0.126764549	0	0.126764549	0	0.126764549	0	0.126764549	0	0.126764549	0	0.126764549	0	0.126764549	0	0.062922991	0	0	0	0.003776774	0	86	0	0.012400286	0.2	0
Industrie	2020<=2030	0	0.213136845	0	0.213136845	0	0.213136845	0	0.213136845	0	0.213136845	0	0.092315794	0	0.092315794	0	0.064621056	0	0	0	0.003533557	0	81	0	0.01179984	0.2	0
Industrie	2030<=2040	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0	0	0.003533557	0	81	0	0.01179984	0.2	0
Industrie	2040<=2050	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0	0	0.003533557	0	81	0	0.01179984	0.2	0
Industrie	onbekend	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0.070784396	0	0	0	0.003776774	0	86	0	0.012400286	0.2	0
Bijeenkomst	0<=1920	0	0.560795468	0	0.560795468	0	0.560795468	0	0.560795468	0	0.560795468	0	0.151367605	0	0.151367605	0	0.105957324	0	0	0	0.033487398	0	129	0	0.176084063	0.2	0
Bijeenkomst	1920<=1975	0	0.806258686	0	0.806258686	0	0.806258686	0	0.806258686	0	0.806258686	0	0.806258686	0	0.273425196	0	0.191397637	0	0	0	0.033487398	0	129	0	0.176084063	0.2	0
Bijeenkomst	1975<=1990	0	0.610197728	0	0.610197728	0	0.610197728	0	0.610197728	0	0.610197728	0	0.366842441	0	0.366842441	0	0.256789709	0	0	0	0.033487398	0	129	0	0.176084063	0.2	0
Bijeenkomst	1990<=1995	0	0.619237267	0	0.619237267	0	0.619237267	0	0.619237267	0	0.619237267	0	0.619237267	0	0.619237267	0	0.269037423	0	0	0	0.033487398	0	129	0	0.176084063	0.2	0
Bijeenkomst	1995<=2019	0	0.435770119	0	0.435770119	0	0.435770119	0	0.435770119	0	0.435770119	0	0.435770119	0	0.435770119	0	0.231633899	0	0	0	0.033487398	0	129	0	0.176084063	0.2	0
Bijeenkomst	2020<=2030	0	0.632280146	0	0.632280146	0	0.632280146	0	0.632280146	0	0.632280146	0	0.263533269	0	0.263533269	0	0.184473288	0	0	0	0.038280201	0	45	0	0.18879744	0.2	0
Bijeenkomst	2030<=2040	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0	0	0.038280201	0	45	0	0.18879744	0.2	0
Bijeenkomst	2040<=2050	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0	0	0.038280201	0	45	0	0.18879744	0.2	0
Bijeenkomst	onbekend	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0.16822246	0	0	0	0.033487398	0	129	0	0.176084063	0.2	0
Sport	0<=1920	0	0.724791492	0	0.724791492	0	0.724791492	0	0.724791492	0	0.724791492	0	0.214911431	0	0.214911431	0	0.150438002	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Sport	1920<=1975	0	0.544171907	0	0.544171907	0	0.544171907	0	0.544171907	0	0.544171907	0	0.544171907	0	0.214911431	0	0.150438002	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Sport	1975<=1990	0	0.329260473	0	0.329260473	0	0.329260473	0	0.329260473	0	0.329260473	0	0.214911431	0	0.214911431	0	0.150438002	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Sport	1990<=1995	0	0.32547952	0	0.32547952	0	0.32547952	0	0.32547952	0	0.32547952	0	0.32547952	0	0.32547952	0	0.150438002	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Sport	1995<=2019	0	0.276025048	0	0.276025048	0	0.276025048	0	0.276025048	0	0.276025048	0	0.276025048	0	0.276025048	0	0.150438002	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Sport	2020<=2030	0	0.389907353	0	0.389907353	0	0.389907353	0	0.389907353	0	0.389907353	0	0.222799623	0	0.222799623	0	0.155959736	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Sport	2030<=2040	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Sport	2040<=2050	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Sport	onbekend	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	0<=1920	0	0.227744373	0	0.227744373	0	0.227744373	0	0.227744373	0	0.227744373	0	0.048814225	0	0.048814225	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	1920<=1975	0	0.227744373	0	0.227744373	0	0.227744373	0	0.227744373	0	0.227744373	0	0.048814225	0	0.048814225	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	1975<=1990	0	0.165521952	0	0.165521952	0	0.165521952	0	0.165521952	0	0.165521952	0	0.165521952	0	0.048814225	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	1990<=1995	0	0.089303509	0	0.089303509	0	0.089303509	0	0.089303509	0	0.089303509	0	0.048814225	0	0.048814225	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	1995<=2019	0	0.086385542	0	0.086385542	0	0.086385542	0	0.086385542	0	0.086385542	0	0.086385542	0	0.086385542	0	0.034169957	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Overig	2020<=2030	0	0.068874321	0	0.068874321	0	0.068874321	0	0.068874321	0	0.068874321	0	0.068874321	0	0.068874321	0	0.034169957	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Overig	2030<=2040	0	0.112344219	0	0.112344219	0	0.112344219	0	0.112344219	0	HUDIG	0	0.051621296	0	0.051621296	0	0.036134907	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Overig	2040<=2050	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Overig	onbekend	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	0<=1920	0	1.174642006	0	1.174642006	0	1.174642006	0	1.174642006	0	1.174642006	0	0.278391906	0	0.278391906	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	1920<=1975	0	0.797229598	0	0.797229598	0	0.797229598	0	0.797229598	0	0.797229598	0	0.797229598	0	0.278391906	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	1975<=1990	0	0.472312353	0	0.472312353	0	0.472312353	0	0.472312353	0	0.472312353	0	0.278391906	0	0.278391906	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	1990<=1995	0	0.469721176	0	0.469721176	0	0.469721176	0	0.469721176	0	0.469721176	0	0.469721176	0	0.469721176	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	1995<=2019	0	0.380637332	0	0.380637332	0	0.380637332	0	0.380637332	0	0.380637332	0	0.380637332	0	0.380637332	0	0.194874334	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Cel	2020<=2030	0	0.636626893	0	0.636626893	0	0.636626893	0	0.636626893	0	0.636626893	0	0.295673148	0	0.295673148	0	0.206971204	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Cel	2030<=2040	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Cel	2040<=2050	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Cel	onbekend	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0.151511751	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
