type_str;bouwjaar_str;eigendom_str;Vrv_N_asl;Vrv_N_opp;Vrv_G_asl;Vrv_G_opp;Vrv_F_asl;Vrv_F_opp;Vrv_E_asl;Vrv_E_opp;Vrv_D_asl;Vrv_D_opp;Vrv_C_asl;Vrv_C_opp;Vrv_B_asl;Vrv_B_opp;Vrv_A_asl;Vrv_A_opp;Vvt_asl;Vvt_opp;Vtw_asl;Vtw_opp;Vea_asl;Vea_opp;Vkd_asl;Vkd_opp;freq_label_A;freq_label_B;freq_label_C;freq_label_D;freq_label_E;freq_label_F;freq_label_G;freq_LWP;freq_BWP;freq_HWP
Vrijstaand;voor 1930;koop;37.65489056;0.118592626;33.82104378;0.144609233;35.0805779;0.144609233;32.6518477;0.144609233;31.2434822;0.144609233;28.77834979;0.144609233;26.2192775;0.144609233;23.19181842;0.144609233;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0.0001;0;0.0355
Vrijstaand;voor 1930;parthuur;37.50838487;0.12589668;37.62504474;0.130845355;42.06582497;0.130845355;36.66213935;0.130845355;31.25845373;0.130845355;31.25845373;0.130845355;31.25845373;0.130845355;31.25845373;0.130845355;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0;0;0.0549
Vrijstaand;voor 1930;wooncorp;26.62059325;0.179785728;33.82104378;0.144609233;35.0805779;0.144609233;32.6518477;0.144609233;31.2434822;0.144609233;28.77834979;0.144609233;26.2192775;0.144609233;23.19181842;0.144609233;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0.0036;0;0.3372
Vrijstaand;1930 - 1945;koop;39.2793916;0.117676109;36.08560157;0.140221271;37.15980671;0.140221271;34.35624116;0.140221271;31.60404477;0.140221271;29.83340873;0.140221271;28.38712246;0.140221271;23.90882007;0.140221271;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0.0001;0;0.0197
Vrijstaand;1930 - 1945;parthuur;38.87982812;0.133050616;38.9057839;0.123658867;36.13153109;0.123658867;35.48872899;0.123658867;34.84592689;0.123658867;34.84592689;0.123658867;34.84592689;0.123658867;34.84592689;0.123658867;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0;0;0.0216
Vrijstaand;1930 - 1945;wooncorp;39.2793916;0.117676109;36.08560157;0.140221271;37.15980671;0.140221271;34.35624116;0.140221271;31.60404477;0.140221271;29.83340873;0.140221271;28.38712246;0.140221271;23.90882007;0.140221271;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0.0004;0;0.0715
Vrijstaand;1946 - 1964;koop;38.33980012;0.126866408;31.62500429;0.160618671;34.56595553;0.160618671;32.92671113;0.160618671;29.03685118;0.160618671;27.1023184;0.160618671;24.45659985;0.160618671;22.62505991;0.160618671;0;0.0092;8.5;0;9.7;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0.0001;0;0.0197
Vrijstaand;1946 - 1964;parthuur;37.93134573;0.144437874;34.67265025;0.147902885;39.35085012;0.147902885;35.40546438;0.147902885;29.8828952;0.147902885;28.04153076;0.147902885;28.04153076;0.147902885;28.04153076;0.147902885;0;0.0092;8.5;0;9.7;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0;0;0.0216
Vrijstaand;1946 - 1964;wooncorp;39.70535032;0.093032369;35.30034508;0.058872385;35.30034508;0.058872385;36.16223866;0.058872385;36.93736803;0.058872385;32.51896595;0.058872385;32.51896595;0.058872385;32.51896595;0.058872385;0;0.0092;8.5;0;9.7;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0.0004;0;0.0715
Vrijstaand;1965 - 1974;koop;36.51559387;0.139468636;31.67921531;0.16408441;30.62649645;0.16408441;32.63310384;0.16408441;32.72279432;0.16408441;27.13428432;0.16408441;24.38257836;0.16408441;23.26760903;0.16408441;0;0.0098;9.2;0;9.56;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0.0002;0;0.0614
Vrijstaand;1965 - 1974;parthuur;35.22927183;0.15398805;42.88396298;0.12982352;42.88396298;0.12982352;41.71730921;0.12982352;38.12863928;0.12982352;37.03550456;0.12982352;37.03550456;0.12982352;37.03550456;0.12982352;0;0.0098;9.2;0;9.56;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0;0;0.046
Vrijstaand;1965 - 1974;wooncorp;36.51559387;0.139468636;31.67921531;0.16408441;30.62649645;0.16408441;32.63310384;0.16408441;32.72279432;0.16408441;27.13428432;0.16408441;24.38257836;0.16408441;23.26760903;0.16408441;0;0.0098;9.2;0;9.56;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0.0026;0;0.4087
Vrijstaand;1975 - 1991;koop;28.20554847;0.159336913;27.78917434;0.168907942;27.74755392;0.168907942;28.33201258;0.168907942;28.79379747;0.168907942;26.80011224;0.168907942;22.81110821;0.168907942;19.96756424;0.168907942;0;0.0089;9.7;0;9.46;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0.0001;0.0038;0.0117
Vrijstaand;1975 - 1991;parthuur;29.40143885;0.157028763;24.65532619;0.169380316;24.65532619;0.169380316;24.65532619;0.169380316;24.65532619;0.169380316;27.95882361;0.169380316;24.59605602;0.169380316;24.59605602;0.169380316;0;0.0089;9.7;0;9.46;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0;0;0.002
Vrijstaand;1975 - 1991;wooncorp;28.23545803;0.094469863;27.78917434;0.168907942;27.74755392;0.168907942;28.33201258;0.168907942;28.79379747;0.168907942;26.80011224;0.168907942;22.81110821;0.168907942;19.96756424;0.168907942;0;0.0089;9.7;0;9.46;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0.1315;0.1368;1.5106
Vrijstaand;1992 - 1995;koop;21.41845927;0.168144379;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.90431757;0.184041868;17.34615331;0.184041868;0;0;10.6;0;9.28;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0.0001;0.0038;0.0117
Vrijstaand;1992 - 1995;parthuur;23.16822189;0.164510491;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;0;0;10.6;0;9.28;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0;0;0.002
Vrijstaand;1992 - 1995;wooncorp;21.41845927;0.168144379;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.90431757;0.184041868;17.34615331;0.184041868;0;0;10.6;0;9.28;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0.1315;0.1368;1.5106
Vrijstaand;1996 - 1999;koop;19.63484694;0.162032999;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;16.29594669;0.178228728;14.5789223;0.178228728;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0356;0.0314;0.0279
Vrijstaand;1996 - 1999;parthuur;29.33952089;0.131161495;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0996;0.0509;0.0967
Vrijstaand;1996 - 1999;wooncorp;19.63484694;0.162032999;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;16.29594669;0.178228728;14.5789223;0.178228728;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0089;0.032;0.0149
Vrijstaand;2000 - 2005;koop;19.79970393;0.1483778;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;17.22030074;0.16508736;15.12360861;0.16508736;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0356;0.0314;0.0279
Vrijstaand;2000 - 2005;parthuur;28.12002729;0.125820807;18.16001192;0.163821657;18.16001192;0.163821657;18.16001192;0.163821657;18.16001192;0.163821657;18.16001192;0.163821657;18.16001192;0.163821657;19.24494262;0.163821657;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0996;0.0509;0.0967
Vrijstaand;2000 - 2005;wooncorp;41.38725768;0;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;17.22030074;0.16508736;15.12360861;0.16508736;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0089;0.032;0.0149
Vrijstaand;2006 - 2010;koop;22.23060788;0.132987275;19.55227456;0.153764553;19.55227456;0.153764553;19.55227456;0.153764553;19.55227456;0.153764553;19.55227456;0.153764553;19.55227456;0.153764553;17.42708539;0.153764553;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0356;0.0314;0.0279
Vrijstaand;2006 - 2010;parthuur;39.88917512;0.06810763;25.07613274;0.131127306;25.07613274;0.131127306;25.07613274;0.131127306;25.07613274;0.131127306;25.07613274;0.131127306;25.07613274;0.131127306;25.07613274;0.131127306;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0996;0.0509;0.0967
Vrijstaand;2006 - 2010;wooncorp;22.23060788;0.132987275;19.55227456;0.153764553;19.55227456;0.153764553;19.55227456;0.153764553;19.55227456;0.153764553;19.55227456;0.153764553;19.55227456;0.153764553;17.42708539;0.153764553;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0089;0.032;0.0149
Vrijstaand;2011 - 2014;koop;20.97255504;0.122080369;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0356;0.0314;0.0279
Vrijstaand;2011 - 2014;parthuur;23.46722303;0.110383734;8.92208417;0.2057296;8.92208417;0.2057296;8.92208417;0.2057296;8.92208417;0.2057296;8.92208417;0.2057296;8.92208417;0.2057296;8.92208417;0.2057296;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0996;0.0509;0.0967
Vrijstaand;2011 - 2014;wooncorp;20.97255504;0.122080369;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;14.36583217;0.162338611;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0089;0.032;0.0149
Vrijstaand;2015 - 2020;koop;13.52877572;0.135090874;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0356;0.0314;0.0279
Vrijstaand;2015 - 2020;parthuur;11.05585299;0.14730845;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0996;0.0509;0.0967
Vrijstaand;2015 - 2020;wooncorp;13.52877572;0.135090874;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0089;0.032;0.0149
Vrijstaand;2021 - 2030;koop;13.52877572;0.135090874;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
Vrijstaand;2021 - 2030;parthuur;11.05585299;0.14730845;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
Vrijstaand;2021 - 2030;wooncorp;13.52877572;0.135090874;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
Vrijstaand;2031 - 2040;koop;13.52877572;0.135090874;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
Vrijstaand;2031 - 2040;parthuur;11.05585299;0.14730845;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
Vrijstaand;2031 - 2040;wooncorp;13.52877572;0.135090874;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
Vrijstaand;2041 - 2050;koop;13.52877572;0.135090874;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
Vrijstaand;2041 - 2050;parthuur;11.05585299;0.14730845;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;16.8037553;0.125026714;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
Vrijstaand;2041 - 2050;wooncorp;13.52877572;0.135090874;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;11.89203249;0.146237187;0;0;7.066666667;0;11.082384;0;0;0.01296;1;0;0;0;0;0;0;0;0;0
2 onder 1 kap;voor 1930;koop;28.94333002;0.152392352;24.61208073;0.191239429;28.66260969;0.191239429;26.08112313;0.191239429;24.52341819;0.191239429;23.13035176;0.191239429;23.13035176;0.191239429;23.13035176;0.191239429;0;0.0078;7.5;0;9.9;0;0;0.01296;0.04;0.05;0.2;0.3;0.24;0.17;0;0.0001;0;0.0138
2 onder 1 kap;voor 1930;parthuur;30.32387786;0.14715129;20.40662022;0.229025484;18.22821066;0.229025484;16.0498011;0.229025484;16.0498011;0.229025484;16.0498011;0.229025484;16.0498011;0.229025484;16.0498011;0.229025484;0;0.0078;7.5;0;9.9;0;0;0.01296;0.04;0.05;0.2;0.3;0.24;0.17;0;0;0;0.0264
2 onder 1 kap;voor 1930;wooncorp;12.57140189;0.30689347;31.38715793;0.114401764;29.13650003;0.114401764;29.01815583;0.114401764;24.61595673;0.114401764;21.13623202;0.114401764;20.42652718;0.114401764;20.03125396;0.114401764;0;0.0078;7.5;0;9.9;0;0;0.01296;0.04;0.05;0.2;0.3;0.24;0.17;0;0.0002;0;0.0301
2 onder 1 kap;1930 - 1945;koop;27.34877074;0.172711599;23.21996198;0.200914917;22.92769807;0.200914917;25.0317684;0.200914917;27.42253126;0.200914917;20.49858585;0.200914917;20.49858585;0.200914917;20.49858585;0.200914917;0;0.0078;7.5;0;9.9;0;0;0.01296;0.04;0.05;0.2;0.3;0.24;0.17;0;0.0001;0;0.0109
2 onder 1 kap;1930 - 1945;parthuur;28.79419303;0.182439849;31.1935522;0.176542686;31.1935522;0.176542686;31.1935522;0.176542686;31.1935522;0.176542686;31.1935522;0.176542686;31.1935522;0.176542686;31.1935522;0.176542686;0;0.0078;7.5;0;9.9;0;0;0.01296;0.04;0.05;0.2;0.3;0.24;0.17;0;0;0;0.0146
2 onder 1 kap;1930 - 1945;wooncorp;28.53399514;0.134672382;33.6270574;0.077783302;35.70151407;0.077783302;31.5811137;0.077783302;28.78263752;0.077783302;27.27186403;0.077783302;27.65188887;0.077783302;20.93421329;0.077783302;0;0.0078;7.5;0;9.9;0;0;0.01296;0.04;0.05;0.2;0.3;0.24;0.17;0;0.0005;0;0.0339
2 onder 1 kap;1946 - 1964;koop;28.52564241;0.146473751;16.23200378;0.223803405;17.08846934;0.223803405;20.10788597;0.223803405;15.81550539;0.223803405;16.47499285;0.223803405;16.47499285;0.223803405;16.47499285;0.223803405;0;0.0095;7.5;0;9.9;0;0;0.01296;0.02;0.02;0.53;0.38;0.04;0;0;0.0001;0;0.0109
2 onder 1 kap;1946 - 1964;parthuur;30.31704893;0.155877323;35.25591232;0.112974765;36.1973203;0.112974765;32.08390811;0.112974765;32.08390811;0.112974765;32.08390811;0.112974765;32.08390811;0.112974765;32.08390811;0.112974765;0;0.0095;7.5;0;9.9;0;0;0.01296;0.02;0.02;0.53;0.38;0.04;0;0;0;0;0.0146
2 onder 1 kap;1946 - 1964;wooncorp;28.53078482;0.106220676;31.57365568;0.113201424;31.90279523;0.113201424;28.83755516;0.113201424;24.96114269;0.113201424;21.95564451;0.113201424;21.61635651;0.113201424;18.35049974;0.113201424;0;0.0095;7.5;0;9.9;0;0;0.01296;0.02;0.02;0.53;0.38;0.04;0;0;0.0005;0;0.0339
2 onder 1 kap;1965 - 1974;koop;23.43687084;0.180895011;28.63369212;0.16687051;28.63369212;0.16687051;28.63369212;0.16687051;21.55118127;0.16687051;18.72191013;0.16687051;18.72191013;0.16687051;18.72191013;0.16687051;0;0.0106;8.2;0;9.77;0;0;0.01296;0.02;0.02;0.53;0.38;0.04;0;0;0.0003;0;0.048
2 onder 1 kap;1965 - 1974;parthuur;32.80539802;0.139847163;22.56413593;0.188179402;22.56413593;0.188179402;22.56413593;0.188179402;22.56413593;0.188179402;16.89690597;0.188179402;16.89690597;0.188179402;16.89690597;0.188179402;0;0.0106;8.2;0;9.77;0;0;0.01296;0.02;0.02;0.53;0.38;0.04;0;0;0;0;0.0505
2 onder 1 kap;1965 - 1974;wooncorp;18.19233737;0.161015394;30.58441381;0.132987985;29.61784185;0.132987985;26.99839998;0.132987985;24.89479953;0.132987985;20.63090269;0.132987985;18.49265872;0.132987985;17.73345571;0.132987985;0;0.0106;8.2;0;9.77;0;0;0.01296;0.02;0.02;0.53;0.38;0.04;0;0;0.0018;0;0.1732
2 onder 1 kap;1975 - 1991;koop;16.89553418;0.190023977;7.410715751;0.264840077;7.410715751;0.264840077;7.410715751;0.264840077;7.410715751;0.264840077;7.410715751;0.264840077;4.844106255;0.264840077;4.844106255;0.264840077;0;0.0072;8.2;0;9.77;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0.0016;0;0.0139
2 onder 1 kap;1975 - 1991;parthuur;23.94721627;0.158563857;22.55850091;0.164979919;22.55850091;0.164979919;22.55850091;0.164979919;22.55850091;0.164979919;22.55850091;0.164979919;13.67165002;0.164979919;13.67165002;0.164979919;0;0.0072;8.2;0;9.77;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0;0;0.0104
2 onder 1 kap;1975 - 1991;wooncorp;16.48378518;0.162448981;30.34326304;0.13783158;30.34326304;0.13783158;30.34326304;0.13783158;26.44131688;0.13783158;22.49686182;0.13783158;18.77611188;0.13783158;15.49243507;0.13783158;0;0.0072;8.2;0;9.77;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0.0015;0;0.1088
2 onder 1 kap;1992 - 1995;koop;15.85799411;0.164871418;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;29.8326792;0.055594216;0;0;8.6;0;9.68;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0.0016;0;0.0139
2 onder 1 kap;1992 - 1995;parthuur;24.51230563;0.13371266;36.19155674;0;36.19155674;0;36.19155674;0;36.19155674;0;36.19155674;0;36.19155674;0;36.19155674;0;0;0;8.6;0;9.68;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0;0;0.0104
2 onder 1 kap;1992 - 1995;wooncorp;15.85799411;0.164871418;21.58332865;0.076207507;21.58332865;0.076207507;21.58332865;0.076207507;21.58332865;0.076207507;21.58332865;0.076207507;21.58332865;0.076207507;20.33517742;0.076207507;0;0;8.6;0;9.68;0;0;0.01296;0.14;0.25;0.55;0.03;0.02;0;0;0.0015;0;0.1088
2 onder 1 kap;1996 - 1999;koop;14.51862535;0.160740889;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.9585657;0.020997931;23.99272428;0.020997931;0;0;8.6;0;9.68;0;0;0.01296;0.5;0.39;0.1;0.01;0;0;0;0.1184;0.0586;0.0141
2 onder 1 kap;1996 - 1999;parthuur;24.35861389;0.118444998;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;19.17886364;0.129702729;0;0;8.6;0;9.68;0;0;0.01296;0.5;0.39;0.1;0.01;0;0;0;0.5307;0.1042;0.0234
